CBSA,ZIP,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
35620,10511,BUCHANAN,NY,0.000114178,0.000333103,0.000133190,0.000133092
35620,10504,ARMONK,NY,0.000413585,0.000844699,0.000188450,0.000432145
35620,10588,SHRUB OAK,NY,0.000198060,0.000206147,0.000076513,0.000190059
35620,10710,YONKERS,NY,0.001382141,0.001391490,0.001714466,0.001406539
35620,10562,OSSINING,NY,0.001591131,0.001170260,0.001739971,0.001567963
35620,10960,NYACK,NY,0.000938259,0.001229338,0.001211462,0.000981048
35620,10968,PIERMONT,NY,0.000153862,0.000138269,0.000155861,0.000152753
35620,07205,HILLSIDE,NJ,0.001014774,0.001112438,0.001161870,0.001033075
35620,07204,ROSELLE PARK,NJ,0.000713704,0.000493998,0.001106610,0.000724040
35620,07621,BERGENFIELD,NJ,0.001168398,0.000959085,0.000738212,0.001120996
35620,07601,HACKENSACK,NJ,0.002790301,0.004227264,0.004101967,0.002998902
35620,07604,HASBROUCK HEIGHTS,NJ,0.000545941,0.000845956,0.000416573,0.000560801
35620,07506,HAWTHORNE,NJ,0.000924120,0.000835900,0.000850149,0.000911780
35620,07504,PATERSON,NJ,0.000447921,0.000241342,0.001174622,0.000483063
35620,07460,STOCKHOLM,NJ,0.000160634,0.000065364,0.000038257,0.000144284
35620,07656,PARK RIDGE,NJ,0.000441862,0.000312991,0.000413739,0.000429524
35620,07657,RIDGEFIELD,NJ,0.000552832,0.001125008,0.000843064,0.000619381
35620,07930,CHESTER,NJ,0.000435090,0.000952800,0.000369815,0.000471972
35620,07853,LONG VALLEY,NJ,0.000594417,0.000314248,0.000161528,0.000541139
35620,07940,MADISON,NJ,0.000811130,0.000856012,0.001058435,0.000832328
35620,07961,CONVENT STATION,NJ,0.000057505,0.000095531,0.000002834,0.000056665
35620,07830,CALIFON,NJ,0.000302852,0.000167180,0.000090683,0.000276871
35620,07755,OAKHURST,NJ,0.000423090,0.000652379,0.000147359,0.000421861
35620,08092,WEST CREEK,NJ,0.000196634,0.000216203,0.000039674,0.000187034
35620,08736,MANASQUAN,NJ,0.000821466,0.001350009,0.000378316,0.000832328
35620,08802,ASBURY,NJ,0.000125466,0.000070392,0.000038257,0.000114842
35620,08835,MANVILLE,NJ,0.000568753,0.000438690,0.000372648,0.000544366
35620,08830,ISELIN,NJ,0.000908080,0.001245679,0.000626276,0.000915107
35620,10003,NEW YORK,NY,0.004236243,0.005334674,0.004996040,0.004378419
35620,10009,NEW YORK,NY,0.004394264,0.002012444,0.003674059,0.004151961
35620,10007,NEW YORK,NY,0.000531922,0.003144994,0.001085356,0.000780906
35620,10027,NEW YORK,NY,0.003923768,0.002397084,0.004451945,0.003838893
35620,10016,NEW YORK,NY,0.004893036,0.007264157,0.003606047,0.004991649
35620,10040,NEW YORK,NY,0.002355686,0.000905034,0.001299310,0.002164154
35620,10033,NEW YORK,NY,0.002564558,0.001508390,0.001945423,0.002435782
35620,10282,NEW YORK,NY,0.000372476,0.000354472,0.000313138,0.000366809
35620,10111,NEW YORK,NY,0.000000000,0.000346930,0.000012752,0.000028736
35620,10153,NEW YORK,NY,0.000000000,0.000076677,0.000019837,0.000007562
35620,10030,NEW YORK,NY,0.001833032,0.000693860,0.002095616,0.001760341
35620,10453,BRONX,NY,0.003817550,0.001324870,0.002690720,0.003537420
35620,10307,STATEN ISLAND,NY,0.000515288,0.000340645,0.000143108,0.000474795
35620,10309,STATEN ISLAND,NY,0.001282101,0.001534787,0.000382567,0.001238359
35620,10462,BRONX,NY,0.003892639,0.002128087,0.004082130,0.003764583
35620,11211,BROOKLYN,NY,0.003981392,0.003891647,0.008872717,0.004322258
35620,11241,BROOKLYN,NY,0.000000000,0.000170951,0.000008501,0.000014317
35620,11354,FLUSHING,NY,0.002872044,0.005201433,0.002663799,0.003044072
35620,11104,SUNNYSIDE,NY,0.001559170,0.000931431,0.001360238,0.001494662
35620,11101,LONG ISLAND CITY,NY,0.004920482,0.006558984,0.003019444,0.004916634
35620,11355,FLUSHING,NY,0.003624837,0.002454905,0.002498020,0.003450809
35620,11030,MANHASSET,NY,0.000839407,0.001195399,0.000164362,0.000819926
35620,11375,FOREST HILLS,NY,0.004261669,0.002718874,0.001955342,0.003973799
35620,11372,JACKSON HEIGHTS,NY,0.003171688,0.003131167,0.002303903,0.003106686
35620,11419,SOUTH RICHMOND HILL,NY,0.001159130,0.001361322,0.000929496,0.001159008
35620,11417,OZONE PARK,NY,0.000925189,0.000847213,0.000881321,0.000915813
35620,11550,HEMPSTEAD,NY,0.002015171,0.002319150,0.002624125,0.002082887
35620,11545,GLEN HEAD,NY,0.000546179,0.000581987,0.000325890,0.000533376
35620,11509,ATLANTIC BEACH,NY,0.000148040,0.000069135,0.000052426,0.000134907
35620,11563,LYNBROOK,NY,0.001054695,0.001608950,0.001357404,0.001120694
35620,11566,MERRICK,NY,0.001553111,0.001153919,0.000359896,0.001436182
