cbsa_cd,cbsa_name,state,n_agencies,total_revenue,revenue_1M_5M,revenue_5M_10M,revenue_10M_50M,revenue_50M_plus,pct_revenue_under_1M,pct_revenue_1m_5m,pct_revenue_5M_10M,pct_revenue_10M_20M,pct_revenue_20M_50M,pct_revenue_50M_plus,pct_revenue_top2,n_agencies_1m_to_5m,pct_agencies_ownership_change,pct_revenue_ownership_change
13980,"Blacksburg-Christiansburg-Radford, VA",VA,5,19219370.0,4471893.0,14747477.0,0.0,0.0,0.0,0.23267635723751612,0.7673236427624839,0.0,0.0,0.0,0.7673236427624839,3,0.0,0.0
14010,"Bloomington, IL",IL,1,127843678.0,0.0,0.0,0.0,127843678.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0,0.0
14020,"Bloomington, IN",IN,1,14894083.0,0.0,0.0,14894083.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0.0,0.0
14260,"Boise City, ID",ID,11,56312510.0,15587771.0,21506676.0,18568587.0,0.0,0.011533423035130205,0.276808314884206,0.3819164871180489,0.32974177496261486,0.0,0.0,0.48331745468280496,6,0.0,0.0
14454,"Boston, MA",MA,29,326583997.0,18529577.0,34594302.0,218086136.0,51956217.0,0.01046519434937285,0.05673755349378004,0.10592773166408395,0.3055222237359046,0.3622573919321589,0.15908990482469967,0.2843281723935787,7,0.0,0.0
14540,"Bowling Green, KY",KY,1,5253730.0,0.0,5253730.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0
14580,"Bozeman, MT",MT,2,3093815.0,3093815.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2,0.0,0.0
14740,"Bremerton-Silverdale-Port Orchard, WA",WA,2,10113902.0,2239266.0,7874636.0,0.0,0.0,0.0,0.22140475555329683,0.7785952444467031,0.0,0.0,0.0,1.0,1,0.0,0.0
15180,"Brownsville-Harlingen, TX",TX,20,33421216.0,17268583.0,0.0,10379531.0,0.0,0.17273764066513916,0.5166952333511743,0.0,0.3105671259836865,0.0,0.0,0.4376853313775298,9,0.05,0.013179502505234999
15260,"Brunswick-St. Simons, GA",GA,2,1899938.0,1387656.0,0.0,0.0,0.0,0.2696309037452801,0.7303690962547199,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0
15380,"Buffalo-Cheektowaga, NY",NY,5,169292247.0,1041310.0,0.0,74003616.0,94247321.0,0.0,0.0061509609474319285,0.0,0.16598509085888616,0.2711502021708059,0.556713746022876,0.8278639481936819,1,0.0,0.0
15500,"Burlington, NC",NC,1,3317910.0,3317910.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0
15540,"Burlington-South Burlington, VT",VT,2,26441173.0,3476441.0,0.0,22964732.0,0.0,0.0,0.13147831981584177,0.0,0.0,0.8685216801841582,0.0,1.0,1,0.0,0.0
15764,"Cambridge-Newton-Framingham, MA",MA,25,412950006.0,16584689.0,53484718.0,164071330.0,178255577.0,0.0013408209031482614,0.040161493544087754,0.12951862749216184,0.1669373289705195,0.2303779092329157,0.4316638198571669,0.4316638198571669,5,0.0,0.0
15804,"Camden, NJ",NJ,5,71512268.0,3124377.0,14795869.0,53592022.0,0.0,0.0,0.04369008405662648,0.20689973082660446,0.1554821055318788,0.5939280795848902,0.0,0.749410185116769,1,0.0,0.0
15940,"Canton-Massillon, OH",OH,7,53121971.0,5139652.0,19350989.0,28631330.0,0.0,0.0,0.09675190704049742,0.3642746802448275,0.0,0.538973412714675,0.0,0.6795595554991738,3,0.0,0.0
15980,"Cape Coral-Fort Myers, FL",FL,21,138188436.0,23400847.0,10391193.0,101628157.0,0.0,0.02003234916125688,0.1693401248133382,0.07519582174010567,0.3134988227234875,0.42193288156181175,0.0,0.42193288156181175,9,0.047619047619047616,0.0136963920772647
16020,"Cape Girardeau, MO-IL",MO,1,1227098.0,1227098.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0
16180,"Carson City, NV",NV,2,6965462.0,1865323.0,5100139.0,0.0,0.0,0.0,0.26779601984764256,0.7322039801523574,0.0,0.0,0.0,1.0,1,0.0,0.0
16220,"Casper, WY",WY,4,5875095.0,5044785.0,0.0,0.0,0.0,0.14132707641323247,0.8586729235867675,0.0,0.0,0.0,0.0,0.6238098277559767,3,0.0,0.0
16300,"Cedar Rapids, IA",IA,7,29883694.0,15186865.0,0.0,13878022.0,0.0,0.027399792006972096,0.5081990533031158,0.0,0.46440115468991217,0.0,0.0,0.6250269126701672,4,0.0,0.0
16540,"Chambersburg, PA",PA,2,13091317.0,3806972.0,9284345.0,0.0,0.0,0.0,0.29080129982338676,0.7091987001766132,0.0,0.0,0.0,1.0,1,0.0,0.0
16580,"Champaign-Urbana, IL",IL,2,130524799.0,2681121.0,0.0,0.0,127843678.0,0.0,0.02054108506997203,0.0,0.0,0.0,0.979458914930028,1.0,1,0.0,0.0
16620,"Charleston, WV",WV,5,40896796.0,2977502.0,11149186.0,26770108.0,0.0,0.0,0.07280526327783722,0.27261759087435605,0.6545771458478068,0.0,0.0,0.6545771458478068,1,0.0,0.0
16700,"Charleston-North Charleston, SC",SC,8,61205532.0,6202368.0,6610356.0,48392808.0,0.0,0.0,0.10133672230804236,0.1080025903540876,0.7906606873378701,0.0,0.0,0.4301615906222333,3,0.0,0.0
16740,"Charlotte-Concord-Gastonia, NC-SC",NC,27,159419038.0,39057358.0,75395059.0,43519267.0,0.0,0.009078928201787292,0.24499807858582112,0.4729363565724189,0.2729866366399727,0.0,0.0,0.19191986342308753,12,0.0,0.0
16820,"Charlottesville, VA",VA,3,10908339.0,5629889.0,5278450.0,0.0,0.0,0.0,0.5161087311276263,0.4838912688723737,0.0,0.0,0.0,0.8951471896867158,2,0.0,0.0
16860,"Chattanooga, TN-GA",TN,9,70504521.0,12746928.0,6314562.0,51443031.0,0.0,0.0,0.18079589534407306,0.08956251188487614,0.44380351155069897,0.2858380812203518,0.0,0.5563235441313047,5,0.0,0.0
16940,"Cheyenne, WY",WY,3,3306160.0,1602438.0,0.0,0.0,0.0,0.5153174679991289,0.4846825320008711,0.0,0.0,0.0,0.0,0.7833907009945072,1,0.0,0.0
16984,"Chicago-Naperville-Schaumburg, IL",IL,321,881733798.0,313428019.0,91788443.0,180928761.0,213076111.0,0.09357979039383495,0.3554678517608554,0.10409994854251918,0.08980483699230955,0.11539174434595055,0.2416558279645304,0.2416558279645304,146,0.009345794392523364,0.0059475705841095594
17020,"Chico, CA",CA,2,6276908.0,6276908.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2,0.0,0.0
17140,"Cincinnati, OH-KY-IN",OH,35,186473501.0,60757485.0,29203079.0,94093179.0,0.0,0.012976417491083626,0.3258236943811121,0.1566071256419431,0.37405505675575856,0.13053770573010265,0.0,0.2187042114900819,21,0.0,0.0
17300,"Clarksville, TN-KY",TN,5,21782420.0,12020877.0,9761543.0,0.0,0.0,0.0,0.5518614093383564,0.44813859066164363,0.0,0.0,0.0,0.6691969028234696,4,0.0,0.0
17410,"Cleveland, OH",OH,32,175152522.0,34215289.0,57564662.0,78084628.0,0.0,0.03019050447929034,0.19534568277583808,0.3286544854889386,0.0,0.445809327255933,0.0,0.445809327255933,14,0.03125,0.004676278655011317
17420,"Cleveland, TN",TN,3,27937772.0,3996582.0,0.0,23941190.0,0.0,0.0,0.14305299649521086,0.0,0.0,0.8569470035047891,0.0,0.9312210365235997,2,0.0,0.0
17660,"Coeur d'Alene, ID",ID,6,13429279.0,12526846.0,0.0,0.0,0.0,0.06719891663580747,0.9328010833641925,0.0,0.0,0.0,0.0,0.4522101298215638,5,0.0,0.0
17780,"College Station-Bryan, TX",TX,8,25703993.0,11653393.0,13459235.0,0.0,0.0,0.023006736735416946,0.45336897656329117,0.5236242867012919,0.0,0.0,0.0,0.5236242867012919,5,0.0,0.0
17860,"Columbia, MO",MO,4,10400006.0,10400006.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6548034683826144,4,0.0,0.0
