year,operator_id,HHA Name,rpt_rec_num,Provider CCN,Street Address,City,State Code,Zip Code,cbsa_cd,Type of Control,Fiscal Year Begin Date,Fiscal Year End Date,HHA-based Hospice Provider CCN,"Total, Medicare Title XVIII Visits","Total, Medicaid Title XIX Visits","Total, Other Visits","Total, Total Visits",Total Episodes-Total Visits,Total Episodes-Total Charges,Total Cost,Total HHA Medicare Program Visits,Total HHA Medicare Program Cost,Gross Patient Revenues Title XVIII Medicare,Gross Patient Revenues Title XIX Medicaid,Gross Patient Revenues Other,Gross Patient Revenues Total,Less: Allowances and discounts on patients' accounts Title XVIII Medicare,Less: Allowances and discounts on patients' accounts Title XIX Medicaid,Less: Allowances and discounts on patients' accounts Other,Less: Allowances and discounts on patients' accounts Total,Net Patient Revenues (line 1 minus line 2) XVIII Medicare,Net Patient Revenues (line 1 minus line 2) XIX Medicaid,Net Patient Revenues (line 1 minus line 2) Other,Net Patient Revenues (line 1 minus line 2) Total,Less Total Operating Expenses (sum of lines 4 through 16),Net Income from service to patients (line 3 minus line 17),Total Other Income (sum of lines 19 through 31),Net Income or Loss for the period (line 18 plus line 32),Total PPS Payment - full episodes/periods without outliers,Total PPS Payment - full episodes/periods with outliers,Total PPS Payment - LUPA episodes/periods,Total PPS Payment - PEP episodes/periods,Total PPS Outlier Payment - full episodes/periods with outliers,Total PPS Outlier Payment - PEP episodes/periods,Allowable Bad Debts,Adjusted Reimbursable Bad Debts,Total Current Assets,Total Fixed Assets,Total Assets,Total Current Liabilities,Total Long Term Liabilities,Total Liabilities,Fund Balance,Total Liabilities and Fund Balances,Total Hospice Days Title XVIII Medicare,Total Hospice Days Title XIX Medicaid,Total Hospice Days Title Other,Total Hospice Days Total,Total Hospice Expenses
2020,50,MED1CARE  LLC,500071,368362,101 W. SANDUSKY STREET  SUITE 300,FINDLAY,OH,45840,22300,5,01/01/2020,12/31/2020,,17613,159769,95269,272651,7234,1062611,8533016,7234,1066875,1064414,3431489,6601538,11097441,,,,,1064414,3431489,6601538,11097441,9988402,1109039,1372744,2481783,795358,156943,9613,2317,39930,2256,,,457654,22087,479741,,479741,479741,,479741,,,,,
2020,51,COMFORT CARE HOME HEALTH,500073,377734,425 WEST WILSHIRE BLVD,OKLAHOMA CITY,OK,73116,36420,5,01/01/2020,12/31/2020,,2464,86,639,3189,1797,185925,268414,1797,204483,,,,,,,,,,,,,268520,-268520,,-268520,149144,36747,137,515,12936,,,,8885,4450,13335,80786,,80786,-67451,13335,,,,,
2020,52,COUNTRY STYLE INC XI,500075,377750,2313 NORTH MAIN,GORE,OK,74435,22900,5,01/01/2020,12/31/2020,,4093,,806,4899,4093,613950,644543,4093,512850,491048,883,90572,582503,,,,,491048,883,90572,582503,688842,-106339,,-106339,733097,5247,7980,878,1666,,,,147496,,147496,287455,80500,367955,-220459,147496,,,,,
2020,53,COUNTRY STYLE INC XII,500077,377783,1100 EAST MELTON DRIVE,JAY,OK,74346,99999,5,01/01/2020,12/31/2020,,5546,,7763,13309,5546,831750,821659,5546,298839,924765,4046,285530,1214341,,,,,924765,4046,285530,1214341,1060966,153375,,153375,949480,4988,10264,4299,3083,,,,395981,,395981,928043,,928043,-532062,395981,,,,,
2020,54,SINCERE HOME HEALTH CARE. INC.,500086,673187,801 S HWY 78 SUITE 202,WYLIE,TX,75098,19100,5,01/01/2020,12/31/2020,,3003,,,3003,3050,273102,663172,3050,1136972,771303,,,771303,,,,,771303,,,771303,675210,96093,139500,235593,764851,3782,6062,965,766,,,,169532,,169532,80461,89071,169532,,169532,,,,,
2020,55,PARIS SIGNATURE HOME HEALTH  INC,500088,747363,420 NORTH COLLEGIATE,PARIS,TX,75460,37580,5,01/01/2020,12/31/2020,,19917,,3429,23346,13045,1233308,1921380,13045,1225331,2097810,,624258,2722068,,,,,2097810,,624258,2722068,1998825,723243,147596,870839,2164870,,9857,8513,,,,,1542533,3239,1545772,-40940,47274,6334,1539438,1545772,,,,,
2020,56,BERITER HEALTHCARE LLC,500089,747671,1618 SKYLINE DRIVE,GARLAND,TX,75043-1771,19100,5,01/01/2020,12/31/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,57,CORNERSTONE HOME HEALTH,500091,747863,PO BOX 2424,ROCKPORT,TX,78382,18580,5,01/01/2020,12/31/2020,,5083,,1315,6398,5339,792825,1373481,5339,1140287,1146094,,326414,1472508,,,95778,95778,1146094,,230636,1376730,1510979,-134249,81765,-52484,1218336,10509,7167,7979,1925,,,,173145,,173145,-6950,119545,112595,60550,173145,,,,,
2020,58,CENTRAL HH SERVICES  INC.,500092,157576,5699 E 71ST ST  STE 2B,INDIANAPOLIS,IN,46220-3950,26900,5,01/01/2020,12/31/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,59,ANGELITOS HEALTH CARE INC,500094,678290,2544 CENTRAL PALM DR  STE 107,RIO GRANDE CITY,TX,78582-6667,40100,5,01/01/2020,12/31/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,60,ATC HOME HEALTH  LLC,500096,679720,20345 RIVER RIDGE DRIVE,PORTER,TX,77365,26420,5,01/01/2020,12/31/2020,,13307,,6048,19355,9928,1551530,2675809,9928,1889571,1803601,,1574607,3378208,,,,,1803601,,1574607,3378208,2951690,426518,295,426813,1712686,71316,10739,3441,19067,,,,437416,4430,442126,16627,,16627,425499,442126,,,,,
2020,61,HOME HEALTH CHECK,500098,747911,14693 PALIS ROAD,LA FERIA,TX,78559,15180,5,01/01/2020,12/31/2020,,7258,,239,7497,7385,1105350,995320,7385,956339,1624877,,,1624877,133,,,133,1624744,,,1624744,1189687,435057,163061,598118,1201275,20373,7477,7863,7775,,,,797026,5149,802175,478120,18730,496850,305325,802175,,,,,
2020,62,HOME HEALTH SVCS OF GARY  INC,500100,157511,1281 WEST RIDGE ROAD,GARY,IN,46408-2123,16980,5,01/01/2020,12/31/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,63,HOME CARE NETWORK  INC.,500101,367334,3601 SOUTH GREEN ROAD,BEACHWOOD,OH,44122-5719,17410,5,01/01/2020,12/31/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,63,HOME CARE NETWORK  INC.,500102,367335,3200 W MARKET ST,CENTERVILLE,OH,44333-3324,10420,5,01/01/2020,12/31/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,63,HOME CARE NETWORK  INC.,500103,367336,190AE SPRING VALLEY PIKE,CENTERVILLE,OH,45458-3803,19430,5,01/01/2020,12/31/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,64,HOME CARE NETWORK INC,500104,367567,134 W SOUTH BOUNDARY ST,PERRYSBURG,OH,43551-1763,45780,5,01/01/2020,12/31/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,64,HOME CARE NETWORK INC,500105,368029,806 SIXTH AVENUE SUITE 405,PORTSMOUTH,OH,45662,39020,3,01/01/2020,12/31/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,63,HOME CARE NETWORK INC.,500106,368034,1604 WALKER LAKE ROAD,MANSFIELD,OH,44906-1416,31900,3,01/01/2020,12/31/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,65,STILLWATER HOME CARE AGENCY  LLC,500111,67510,10660 E. BETHANY DRIVE,AURORA,CO,80014,19740,5,01/01/2020,12/31/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,66,ALEXANDER HOME HEALTHCARE  LLC,500112,67534,8010 S COUNTY ROAD 5,WINDSOR,CO,80528,22660,5,01/01/2020,12/31/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,67,WEL-HOME HEALTH BOZEMAN,500113,277078,205 NORTH TRACY AVENUE,BOZEMAN,MT,59715-3564,14580,4,01/01/2020,12/31/2020,,867,29,825,1721,868,123098,358955,868,220691,139486,4274,87271,231031,1578,2021,14133,17732,137908,2253,73138,213299,351812,-138513,,-138513,109974,13223,1295,,,,,,579759,797,580556,3279971,-16355,3263616,-2683060,580556,,,,,
2020,68,AT HOME REHAB,500115,397786,542 STREET ROAD,SOUTHAMPTON,PA,18966,37980,5,01/01/2020,12/31/2020,,2831,,3865,6696,2840,622425,941271,2840,400230,645341,,495160,1140501,,,,,645341,,495160,1140501,1033547,106954,3602,110556,556376,21319,3322,830,5018,,,,-64437,,-64437,85258,,85258,-149695,-64437,,,,,
2020,69,VIRGINIA HEALTH HOME CARE LLC,500116,497677,1104 WILLIAM STYRON SQUARE SOUTH,NEWPORT NEWS,VA,23606,47260,5,01/01/2020,12/31/2020,,14985,,419,15404,11547,2020725,1516232,11547,768729,1851439,,51769,1903208,46926,,1312,48238,1804513,,50457,1854970,1537344,317626,161821,479447,1444923,248241,8826,4666,56012,,,,1038404,15187,1053591,94726,,94726,958865,1053591,,,,,
